member_id,first_name,last_name,email,date_of_birth,mobile_no,above_18
Vega_fc7cb,Jennifer,Vega,Jennifer_Vega@jenkins.net,19710703,66551251,True
Wilson_6845c,Aaron,Wilson,Aaron_Wilson@burke-benton.net,19870517,75053391,True
Lee_d3d5c,Samuel,Lee,Samuel_Lee@gardner-rodriguez.net,19740902,57636831,True
Weaver_feb81,Jennifer,Weaver,Jennifer_Weaver@patterson.com,19781015,74152151,True
Timothy Ortega_dd4da,Mr.,Timothy Ortega,Timothy_Ortega@ramos.com,19980401,59312963,True
Hamilton_f2276,Leonard,Hamilton,Leonard_Hamilton@brown.com,19880229,76082775,True
Phillips_608c9,Kathy,Phillips,Kathy_Phillips@floyd.com,19841216,57829247,True
Simmons_cd946,Danny,Simmons,Danny_Simmons@morales.com,19631013,26313911,True
Jimenez_5ed59,Jennifer,Jimenez,Jennifer_Jimenez@morgan.com,19921121,59592559,True
Lopez_7b621,Penny,Lopez,Penny_Lopez@young-huang.net,19540925,99596291,True
Lawson_6d37f,Victoria,Lawson,Victoria_Lawson@snyder.com,19540412,24045823,True
Martinez_bc0fc,Michael,Martinez,Michael_Martinez@hogan.net,19521107,40271975,True
Sullivan_61495,Samantha,Sullivan,Samantha_Sullivan@cunningham-williams.com,19600423,64913455,True
Paul Jones_f903f,Dr.,Paul Jones,Paul_Jones@clark-irwin.com,19940215,91301999,True
Tran_40aaa,Danielle,Tran,Danielle_Tran@mann.com,19880826,85246679,True
Freeman_35a3d,Jeff,Freeman,Jeff_Freeman@guzman.com,20030520,13590655,True
Jones_cdd9f,Marissa,Jones,Marissa_Jones@lewis.net,19580806,32094119,True
Roy_57ef7,Elijah,Roy,Elijah_Roy@jones-baldwin.com,19870705,57159015,True
Simpson_7383f,Courtney,Simpson,Courtney_Simpson@preston-cantrell.com,19731103,77314887,True
Hopkins_56d12,Kimberly,Hopkins,Kimberly_Hopkins@adams.com,19931022,67364511,True
King_4ae33,William,King,William_King@cline-allen.com,19841115,21561215,True
Robertson_e101e,Stephanie,Robertson,Stephanie_Robertson@owen-rodriguez.com,20020508,75259367,True
Hill_bd6cc,Rickey,Hill,Rickey_Hill@parker-cohen.com,19640430,56465207,True
Stewart_40f40,Erika,Stewart,Erika_Stewart@solis.com,19851226,83552695,True
Allen_c7f06,Gregory,Allen,Gregory_Allen@stanley.net,19780122,48871907,True
Johnson_5dcd5,Christina,Johnson,Christina_Johnson@clark.com,20010622,30262983,True
Wells_5c2c0,Kelli,Wells,Kelli_Wells@jones.com,19540308,27406215,True
Archer_c6232,Nathan,Archer,Nathan_Archer@gray.com,19560723,72954367,True
Kline_6fe75,Michael,Kline,Michael_Kline@phelps-alvarez.com,19650623,20968343,True
Rodriguez_1eec6,Joshua,Rodriguez,Joshua_Rodriguez@thornton-benitez.com,19530317,27953967,True
